"length","Year","residual"
20,"Year 13",-0.00502749157508209
20,"Year 14",0.00824469779799664
20,"Year 15",-0.00943132357203957
20,"Year 16",0.0140849174680335
20,"Year 17",-0.00230452745634135
20,"Year 18",0.00497724857281012
20,"Year 19",-0.0669090908881369
20,"Year 20",0.0857939097360179
22,"Year 1",-0.00577435207512833
22,"Year 2",-0.000786786216524504
22,"Year 3",-0.00458459105019315
22,"Year 4",-0.00368521259143639
22,"Year 5",-0.00370915151182505
22,"Year 6",-0.00193302441395726
22,"Year 7",-0.00452912880073209
22,"Year 8",-0.00281965104123216
22,"Year 9",-0.00965811701124331
22,"Year 10",0.00638431428203212
22,"Year 11",-0.0044864011476653
22,"Year 12",-0.00124579961345361
22,"Year 13",-0.00879974200706357
22,"Year 14",0.00520546738164374
22,"Year 15",-0.0121368976091931
22,"Year 16",0.0103491548023493
22,"Year 17",-0.00668694220161203
22,"Year 18",0.00337677175810036
22,"Year 19",-0.0724700351225072
22,"Year 20",0.0820294829576635
24,"Year 1",-0.00537729622931327
24,"Year 2",-0.0035313125941907
24,"Year 3",-0.00413383114520283
24,"Year 4",-0.00292446754380027
24,"Year 5",-0.00462384249563419
24,"Year 6",-0.00107710067119715
24,"Year 7",-0.00624200732250557
24,"Year 8",-0.00504963752512566
24,"Year 9",-0.00928985212181566
24,"Year 10",0.00518461437468165
24,"Year 11",-0.00539663876627205
24,"Year 12",-0.000791673815306204
24,"Year 13",-0.00941190934411473
24,"Year 14",0.00408185570177011
24,"Year 15",-0.0116080973731769
24,"Year 16",0.00846526304241824
24,"Year 17",-0.00789377572611283
24,"Year 18",0.00322002687992207
24,"Year 19",-0.0758475424084422
24,"Year 20",0.0806486176563173
26,"Year 1",-0.00217721874291854
26,"Year 2",-0.00237583764971339
26,"Year 3",-0.000483872944878616
26,"Year 4",-8.01462991302238e-05
26,"Year 5",-0.00189954248660573
26,"Year 6",0.00116665814310801
26,"Year 7",-0.00361329031169255
26,"Year 8",-0.00303659321187943
26,"Year 9",-0.00555441004269142
26,"Year 10",0.00575715074941296
26,"Year 11",-0.00201473875827762
26,"Year 12",0.000805546941252011
26,"Year 13",-0.00604882080521119
26,"Year 14",0.00419399553317135
26,"Year 15",-0.008032741728488
26,"Year 16",0.008087504267702
26,"Year 17",-0.00398724164659203
26,"Year 18",0.00315073774267738
26,"Year 19",-0.0758213853561065
26,"Year 20",0.0817622850207891
28,"Year 1",0.00114461591365611
28,"Year 2",0.00106777198150176
28,"Year 3",0.0030264043870174
28,"Year 4",0.00198140101584432
28,"Year 5",0.00180445120549333
28,"Year 6",0.00224520025859176
28,"Year 7",0.000987737753191276
28,"Year 8",0.00150801344606322
28,"Year 9",-0.00165316913720659
28,"Year 10",0.00599746943750556
28,"Year 11",0.00295109346751143
28,"Year 12",0.00130517867059243
28,"Year 13",-0.00164973566174442
28,"Year 14",0.00376790858248377
28,"Year 15",-0.00479475929432205
28,"Year 16",0.00764535289305712
28,"Year 17",0.00236371798421953
28,"Year 18",0.00161402156854473
28,"Year 19",-0.0739102820999427
28,"Year 20",0.0829250500693268
30,"Year 1",0.00251082551389281
30,"Year 2",0.00311558367391784
30,"Year 3",0.00324108803932344
30,"Year 4",0.00168931542430695
30,"Year 5",0.00330023888345643
30,"Year 6",0.0013036216614899
30,"Year 7",0.0031279432833009
30,"Year 8",0.0038752154663495
30,"Year 9",-0.000922995549981209
30,"Year 10",0.00471538047454034
30,"Year 11",0.00526883675458834
30,"Year 12",0.000126099343363606
30,"Year 13",0.000158006388092602
30,"Year 14",0.00229944446378028
30,"Year 15",-0.0044603836896755
30,"Year 16",0.00651200310558142
30,"Year 17",0.00500154554413479
30,"Year 18",-0.00121764365134114
30,"Year 19",-0.0726185871987184
30,"Year 20",0.0821528361003039
32,"Year 1",0.00233959121195948
32,"Year 2",0.0030340206940962
32,"Year 3",0.000949073194829619
32,"Year 4",7.40387789011088e-05
32,"Year 5",0.00267245472672073
32,"Year 6",-0.000359249633365533
32,"Year 7",0.00221026016237635
32,"Year 8",0.00286294055463054
32,"Year 9",-0.00284816196847881
32,"Year 10",0.00273694861839369
32,"Year 11",0.00458594218014019
32,"Year 12",-0.00136944898811198
32,"Year 13",-0.000584921237637648
32,"Year 14",0.000917488329499783
32,"Year 15",-0.00620526147178779
32,"Year 16",0.00549497545261568
32,"Year 17",0.0028790875645579
32,"Year 18",-0.00376039651230231
32,"Year 19",-0.0722076668703449
32,"Year 20",0.0803179368325355
34,"Year 1",0.00166149282446737
34,"Year 2",0.00232252857485271
