"LengthGroup","Year","estimate","lower","upper"
"Length bin 25-27",2,40.7758810810207,40.0714143733138,41.4803477887276
"Length bin 27-29",2,33.724568166746,33.0879446770056,34.3611916564863
"Length bin 29-31",2,29.9279900669429,29.3485966585258,30.50738347536
"Length bin 31-33",2,27.2267068090093,26.7307182412758,27.7226953767428
"Length bin 33-35",2,24.4316456662906,24.0090794563127,24.8542118762686
"Length bin 35-37",2,21.3975359210497,21.0301347230894,21.76493711901
"Length bin 37-39",2,18.3301136028743,18.0151681502033,18.6450590555453
"Length bin 39-41",2,15.3970761345193,15.134771800874,15.6593804681646
"Length bin 41-43",2,12.6855255324876,12.4678269073179,12.9032241576573
"Length bin 43-45",2,10.2511713135376,10.0665541599217,10.4357884671536
"Length bin 45-47",2,8.1353624221593,7.97576477744198,8.29496006687662
"Length bin 47-49",2,6.35545680298744,6.21614001609295,6.49477358988192
"Length bin >49",2,18.8680676823311,18.2293779193509,19.5067574453112
"Length bin <7",3,13.273902931326,12.94074406706,13.6070617955921
"Length bin 7-9",3,54.5777130215787,53.2679965158598,55.8874295272976
"Length bin 9-11",3,111.001893464563,108.353537534021,113.650249395105
"Length bin 11-13",3,105.409962618055,103.051943469724,107.767981766386
"Length bin 13-15",3,59.3121843829588,58.2090243251202,60.4153444407974
"Length bin 15-17",3,45.4755494027422,44.4337163899063,46.5173824155781
"Length bin 17-19",3,56.9804143400958,55.5387986056113,58.4220300745802
"Length bin 19-21",3,66.0880269647393,64.5556285308652,67.6204253986134
"Length bin 21-23",3,64.1268014057989,62.8351850921935,65.4184177194044
"Length bin 23-25",3,54.832859787753,53.842687553394,55.8230320221119
"Length bin 25-27",3,45.0440745982673,44.1327300578562,45.9554191386784
"Length bin 27-29",3,38.1158608086063,37.209572950159,39.0221486670535
"Length bin 29-31",3,33.3616973469774,32.574025983141,34.1493687108138
"Length bin 31-33",3,29.1700729558515,28.5614100589667,29.7787358527363
"Length bin 33-35",3,24.9696271546318,24.486384132677,25.4528701765866
"Length bin 35-37",3,21.0203493140235,20.5952674125373,21.4454312155098
"Length bin 37-39",3,17.6227541526529,17.2478579800357,17.9976503252701
"Length bin 39-41",3,14.8005050980141,14.4883267384551,15.1126834575731
"Length bin 41-43",3,12.4071796800061,12.1528018132359,12.6615575467762
"Length bin 43-45",3,10.3011560828119,10.0851916136589,10.5171205519648
"Length bin 45-47",3,8.41656668211544,8.2237324228767,8.60940094135419
"Length bin 47-49",3,6.74622517983827,6.57099302337342,6.92145733630313
"Length bin >49",3,20.6264551032393,19.793768334255,21.4591418722236
"Length bin <7",4,13.1611425393243,12.840518003678,13.4817670749706
"Length bin 7-9",4,54.1081458148851,52.8541393314342,55.3621522983361
"Length bin 9-11",4,109.504027359428,106.973313138504,112.034741580352
"Length bin 11-13",4,101.630334159736,99.3800541895738,103.880614129898
