"residual","LengthGroup","year"
0.00114461591365611,"Length bin 27-29",1
0.00106777198150176,"Length bin 27-29",2
0.0030264043870174,"Length bin 27-29",3
0.00198140101584432,"Length bin 27-29",4
0.00180445120549333,"Length bin 27-29",5
0.00224520025859176,"Length bin 27-29",6
0.000987737753191276,"Length bin 27-29",7
0.00150801344606322,"Length bin 27-29",8
-0.00165316913720659,"Length bin 27-29",9
0.00599746943750556,"Length bin 27-29",10
0.00295109346751143,"Length bin 27-29",11
0.00130517867059243,"Length bin 27-29",12
-0.00164973566174442,"Length bin 27-29",13
0.00376790858248377,"Length bin 27-29",14
-0.00479475929432205,"Length bin 27-29",15
0.00764535289305712,"Length bin 27-29",16
0.00236371798421953,"Length bin 27-29",17
0.00161402156854473,"Length bin 27-29",18
-0.0739102820999427,"Length bin 27-29",19
0.0829250500693268,"Length bin 27-29",20
0.00251082551389281,"Length bin 29-31",1
0.00311558367391784,"Length bin 29-31",2
0.00324108803932344,"Length bin 29-31",3
0.00168931542430695,"Length bin 29-31",4
0.00330023888345643,"Length bin 29-31",5
0.0013036216614899,"Length bin 29-31",6
0.0031279432833009,"Length bin 29-31",7
0.0038752154663495,"Length bin 29-31",8
-0.000922995549981209,"Length bin 29-31",9
0.00471538047454034,"Length bin 29-31",10
0.00526883675458834,"Length bin 29-31",11
0.000126099343363606,"Length bin 29-31",12
0.000158006388092602,"Length bin 29-31",13
0.00229944446378028,"Length bin 29-31",14
-0.0044603836896755,"Length bin 29-31",15
0.00651200310558142,"Length bin 29-31",16
0.00500154554413479,"Length bin 29-31",17
-0.00121764365134114,"Length bin 29-31",18
-0.0726185871987184,"Length bin 29-31",19
0.0821528361003039,"Length bin 29-31",20
0.00233959121195948,"Length bin 31-33",1
0.0030340206940962,"Length bin 31-33",2
0.000949073194829619,"Length bin 31-33",3
7.40387789011088e-05,"Length bin 31-33",4
0.00267245472672073,"Length bin 31-33",5
-0.000359249633365533,"Length bin 31-33",6
0.00221026016237635,"Length bin 31-33",7
0.00286294055463054,"Length bin 31-33",8
-0.00284816196847881,"Length bin 31-33",9
0.00273694861839369,"Length bin 31-33",10
0.00458594218014019,"Length bin 31-33",11
-0.00136944898811198,"Length bin 31-33",12
-0.000584921237637648,"Length bin 31-33",13
0.000917488329499783,"Length bin 31-33",14
-0.00620526147178779,"Length bin 31-33",15
0.00549497545261568,"Length bin 31-33",16
0.0028790875645579,"Length bin 31-33",17
-0.00376039651230231,"Length bin 31-33",18
-0.0722076668703449,"Length bin 31-33",19
0.0803179368325355,"Length bin 31-33",20
0.00166149282446737,"Length bin 33-35",1
0.00232252857485271,"Length bin 33-35",2
-0.00140362849509534,"Length bin 33-35",3
-0.00134126636516507,"Length bin 33-35",4
0.00142090816585094,"Length bin 33-35",5
-0.00133716329660372,"Length bin 33-35",6
0.000134354234188283,"Length bin 33-35",7
0.000842208848158776,"Length bin 33-35",8
-0.005040673368927,"Length bin 33-35",9
0.00132122732841067,"Length bin 33-35",10
0.00274972197979251,"Length bin 33-35",11
-0.00176047656510647,"Length bin 33-35",12
-0.00221694046611232,"Length bin 33-35",13
