"AgeGroup","Year","estimate","lower","upper"
"Age group 1",11,414.730198409486,404.673872016852,424.78652480212
"Age group 2",11,467.451901518264,455.917152088661,478.986650947867
"Age group 3",11,192.407054202874,185.162614994882,199.651493410866
"Age group 4",11,171.893027038977,164.583924198932,179.202129879023
"Age group 5",11,101.850729112426,95.6579305250504,108.043527699802
"Age group 6",11,34.6067999059854,30.3378392462261,38.8757605657447
"Age group 7",11,12.9441582132598,10.4415106689981,15.4468057575216
"Age group 8",11,12.3037018550067,9.51346398095954,15.0939397290539
"Age group 9",11,6.14321043760589,4.25281711893817,8.03360375627361
"Age group 10",11,4.51841228032011,2.79924693130539,6.23757762933483
"Age group 11",11,2.52050472082798,1.26103008915557,3.77997935250039
"Age group 12",11,1.01477858802166,0.384199104407392,1.64535807163592
"Age group 13",11,0.873380839473716,0.215125653023761,1.53163602592367
"Age group 14",11,0.491494971691099,0.0367021923247469,0.946287751057452
"Age group 15",11,0.602064410676985,0.0212953047803044,1.18283351657367
"Age group 1",12,638.523969987733,623.610108848635,653.437831126831
"Age group 2",12,292.495460892664,281.930383109283,303.060538676045
"Age group 3",12,327.826252087791,315.120474715731,340.532029459851
"Age group 4",12,133.494372417463,123.883656359081,143.105088475846
"Age group 5",12,121.410872093424,112.72856777009,130.093176416757
"Age group 6",12,69.4586028192594,61.8853871117309,77.0318185267878
"Age group 7",12,23.3534646764897,18.7844378340629,27.9224915189165
"Age group 8",12,8.19545118753945,5.73103385390632,10.6598685211726
"Age group 9",12,8.07171593205629,5.64531080870637,10.4981210554062
"Age group 10",12,4.09503642357894,2.56023540317943,5.62983744397844
"Age group 11",12,3.10031160512839,1.74419824251325,4.45642496774354
"Age group 12",12,1.75763672612743,0.772522179059883,2.74275127319498
"Age group 13",12,0.717657649270849,0.224383426408359,1.21093187213334
"Age group 14",12,0.623023313935458,0.107244160733592,1.13880246713732
"Age group 15",12,0.793934105570892,0.0848923362640223,1.50297587487776
"Age group 1",13,364.93378206817,356.459274993613,373.408289142726
"Age group 2",13,395.453832075249,383.838139356979,407.06952479352
"Age group 3",13,179.65457226367,166.370192714285,192.938951813055
"Age group 4",13,200.55271253482,185.480359948037,215.625065121602
"Age group 5",13,84.7193711533459,73.3859513429849,96.0527909637068
"Age group 6",13,71.7034461204986,60.7361171113735,82.6707751296237
"Age group 7",13,42.0869050564973,33.5937715576284,50.5800385553661
"Age group 8",13,12.6864789450919,7.60430004155524,17.7686578486286
"Age group 9",13,4.81699947453611,2.67524411345752,6.9587548356147
"Age group 10",13,4.91454021311984,2.67736517670004,7.15171524953964
"Age group 11",13,2.6529372804962,1.3075004826288,3.99837407836359
"Age group 12",13,2.07525290201718,0.922202655710366,3.22830314832399
"Age group 13",13,1.20874668939595,0.405826982260239,2.01166639653165
"Age group 14",13,0.501876368812428,0.108826175244562,0.894926562380294
"Age group 15",13,0.80283222391062,0.137423703821145,1.4682407440001
"Age group 1",14,472.7481167412,461.520243128467,483.975990353933
"Age group 2",14,274.279848884356,266.04618020541,282.513517563303
"Age group 3",14,298.402597123998,288.70458536329,308.100608884707
"Age group 4",14,135.06773460606,125.670622936568,144.464846275552
"Age group 5",14,152.674733574697,141.967513233855,163.38195391554
"Age group 6",14,62.3645923900197,54.4102143752482,70.3189704047912
"Age group 7",14,52.5418023949956,44.2534585033465,60.8301462866448
"Age group 8",14,29.2432069575204,22.4046853970905,36.0817285179504
"Age group 9",14,8.879500289652,5.14253078044416,12.6164697988598
"Age group 10",14,3.31506816636776,1.69862262630452,4.93151370643099
"Age group 11",14,3.44553023061509,1.59739396000007,5.29366650123011
"Age group 12",14,1.87365339535492,0.745176363750936,3.00213042695891
"Age group 13",14,1.48013478715249,0.518495977833433,2.44177359647155
"Age group 14",14,0.867093935953462,0.213179618378816,1.52100825352811
"Age group 15",14,0.973433193666332,0.189098772753598,1.75776761457907
"Age group 1",15,261.482034140749,255.51993330462,267.444134976877
"Age group 2",15,265.765879532213,257.112696424736,274.419062639689
"Age group 3",15,153.944040682942,141.04201385595,166.846067509934
"Age group 4",15,165.893268215093,149.060081380647,182.726455049539
